State: PRELAUNCH, Time: 1801.16s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.18s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.21s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.96m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.22s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.25s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.26s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 3.00m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.28s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.30s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.32s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.99m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.34s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.36s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.37s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.39s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.41s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.43s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.95m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.46s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.96m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.47s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.49s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.51s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.53s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.55s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.57s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.97m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.58s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.96m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.61s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.96m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.62s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.64s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.98m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.66s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.98m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.68s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.98m, P: 1004.05hPa
State: PRELAUNCH, Time: 1801.69s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.71s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.73s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.75s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.77s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.79s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.80s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.83s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.84s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.86s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.95m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.88s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.95m, P: 1004.06hPa
State: PRELAUNCH, Time: 1801.90s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
